gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,outcome
female,24,German,Swimming,70,False,False,False,False,1,True,phd,A,1
male,26,German,Golf,67,False,True,False,False,2,True,bachelor,A,0
female,23,Dutch,Running,67,False,True,True,False,0,True,master,A,0
male,24,Dutch,Cricket,70,False,True,False,False,1,True,master,A,1
female,26,German,Golf,59,False,False,False,False,1,False,master,A,1
female,26,Dutch,Chess,63,False,False,False,False,1,True,bachelor,A,1
female,27,Dutch,Tennis,63,True,True,False,False,2,True,bachelor,A,0
female,22,Dutch,Swimming,71,False,True,False,False,1,True,master,A,1
female,28,Dutch,Football,65,True,False,False,True,3,False,bachelor,A,0
male,24,Dutch,Football,55,True,False,False,True,3,False,master,A,1
female,27,Dutch,Football,61,False,False,False,False,1,True,bachelor,A,0
male,28,Dutch,Football,56,False,False,False,True,2,False,bachelor,A,1
female,27,German,Football,62,False,True,False,False,1,True,bachelor,A,0
male,26,Dutch,Football,56,False,False,False,False,1,False,bachelor,A,0
female,25,Dutch,Swimming,63,False,True,False,False,1,False,bachelor,A,0
female,27,Dutch,Football,66,True,True,False,True,2,True,bachelor,A,1
male,28,Dutch,Cricket,63,False,True,True,False,1,False,phd,A,0
male,27,Belgian,Football,60,True,False,False,True,2,False,bachelor,A,1
male,31,Dutch,Swimming,71,False,True,True,False,1,True,phd,A,1
female,24,Belgian,Running,63,False,False,False,False,1,True,bachelor,A,1
female,27,Dutch,Running,68,False,True,False,False,1,True,master,A,0
female,28,Dutch,Running,65,False,False,True,False,0,True,master,A,0
male,26,Dutch,Tennis,62,False,True,False,False,2,False,bachelor,A,0
male,24,Dutch,Running,74,False,True,False,False,1,True,master,A,1
male,24,Belgian,Tennis,72,False,True,False,False,2,True,master,A,1
male,24,Dutch,Football,68,False,True,False,False,2,True,master,A,0
male,21,Dutch,Running,61,False,False,False,False,2,False,bachelor,A,0
male,29,Dutch,Rugby,58,True,False,False,True,3,False,master,A,1
male,30,Dutch,Cricket,56,False,False,True,False,0,False,master,A,0
male,26,Dutch,Football,65,False,False,False,False,1,True,bachelor,A,0
female,22,Belgian,Swimming,69,False,True,False,False,1,True,bachelor,A,1
