Performance,Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_,Class_XII_Percentage,Father_occupation,Mother_occupation
1,male,General,NO,ONE,SEBA,AHSEC,ENGLISH,1,1,DOCTOR,OTHERS
1,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,1,1,SCHOOL_TEACHER,HOUSE_WIFE
1,male,OBC,OA,TWO,OTHERS,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
1,male,General,WA,ONE,SEBA,AHSEC,OTHERS,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
1,male,General,OA,TWO,SEBA,CBSE,ENGLISH,1,1,COLLEGE_TEACHER,HOUSE_WIFE
1,male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,COLLEGE_TEACHER,HOUSE_WIFE
1,female,General,OA,ONE,CBSE,CBSE,ENGLISH,1,1,DOCTOR,DOCTOR
1,male,OBC,NO,ONE,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
1,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
1,female,General,OA,TWO,CBSE,CBSE,ENGLISH,1,1,COLLEGE_TEACHER,HOUSE_WIFE
1,male,General,OA,ONE,CBSE,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
1,male,General,NO,ONE,CBSE,CBSE,ENGLISH,1,1,DOCTOR,DOCTOR
1,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,BANK_OFFICIAL,SCHOOL_TEACHER
1,male,General,NO,TWO,SEBA,AHSEC,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
1,male,General,WA,ONE,SEBA,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
1,male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
1,male,General,NO,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,COLLEGE_TEACHER
1,female,General,OA,TWO,CBSE,CBSE,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
1,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
1,male,General,OA,ONE,SEBA,CBSE,ENGLISH,1,1,BUSINESS,SCHOOL_TEACHER
1,female,OBC,NO,ONE,SEBA,AHSEC,ASSAMESE,1,1,COLLEGE_TEACHER,COLLEGE_TEACHER
1,male,General,NO,ONE,SEBA,AHSEC,OTHERS,1,1,BANK_OFFICIAL,SCHOOL_TEACHER
1,male,General,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,COLLEGE_TEACHER,SCHOOL_TEACHER
1,male,General,NO,ONE,OTHERS,CBSE,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
1,male,General,OA,TWO,CBSE,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
