score,label_value,id,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,is_recid,decile_score,v_decile_score,priors_count,start,event,two_year_recid,sex
0,1,1,69,0,1,0,0,0,1,0,1,1,0,0,0,0,male
0,0,3,34,0,3,0,0,0,1,1,3,1,0,9,1,1,female
0,0,4,24,0,4,0,1,4,1,1,4,3,4,0,0,1,male
1,1,5,23,0,8,1,0,1,1,0,8,6,1,0,0,0,male
1,0,6,43,0,1,0,0,2,76,0,1,1,2,0,0,0,male
0,1,7,44,0,1,0,0,0,0,0,1,1,0,1,0,0,female
1,1,8,41,0,6,0,0,14,1,1,6,2,14,5,1,1,male
0,0,9,43,0,4,0,0,3,1,0,4,3,3,0,0,0,female
0,0,10,39,0,1,0,0,0,1,0,1,1,0,2,0,0,male
1,0,13,21,0,3,0,0,1,308,1,3,5,1,0,1,1,female
1,1,14,27,0,4,0,0,0,1,0,4,4,0,0,0,0,male
