Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_,Class_XII_Percentage,Father_occupation,Mother_occupation
female,General,OA,ONE,CBSE,CBSE,ENGLISH,1,1,DOCTOR,DOCTOR
female,OBC,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
male,General,WA,THREE,SEBA,AHSEC,ASSAMESE,0,0,SCHOOL_TEACHER,HOUSE_WIFE
male,General,WA,THREE,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,OBC,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,ST,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
female,ST,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,General,WA,TWO,SEBA,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,OBC,WA,ONE,SEBA,AHSEC,OTHERS,1,1,BUSINESS,HOUSE_WIFE
female,General,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,BANK_OFFICIAL,OTHERS
male,General,WA,TWO,SEBA,AHSEC,OTHERS,0,1,CULTIVATOR,HOUSE_WIFE
male,ST,NO,ONE,CBSE,CBSE,ENGLISH,1,1,CULTIVATOR,HOUSE_WIFE
male,OBC,NO,TWO,SEBA,AHSEC,ENGLISH,0,0,OTHERS,OTHERS
male,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,SCHOOL_TEACHER,HOUSE_WIFE
female,OBC,WA,ONE,SEBA,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,ST,OA,ONE,CBSE,CBSE,ENGLISH,1,1,SCHOOL_TEACHER,OTHERS
male,General,WA,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,OTHERS
male,OBC,NO,ONE,SEBA,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,TWO,SEBA,AHSEC,OTHERS,1,1,OTHERS,HOUSE_WIFE
male,General,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,OTHERS
male,General,WA,TWO,SEBA,AHSEC,OTHERS,1,1,OTHERS,SCHOOL_TEACHER
female,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,COLLEGE_TEACHER,SCHOOL_TEACHER
female,General,NO,ONE,SEBA,AHSEC,ENGLISH,1,1,OTHERS,OTHERS
male,OBC,WA,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,SCHOOL_TEACHER
female,OBC,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
male,OBC,WA,ONE,CBSE,CBSE,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
female,General,WA,TWO,SEBA,CBSE,ENGLISH,1,1,BANK_OFFICIAL,HOUSE_WIFE
male,ST,NO,THREE,CBSE,CBSE,ENGLISH,1,0,OTHERS,HOUSE_WIFE
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,SC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,OTHERS
female,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,OTHERS
female,General,NO,ONE,SEBA,AHSEC,ENGLISH,1,1,DOCTOR,DOCTOR
male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,1,1,BUSINESS,HOUSE_WIFE
female,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,ENGINEER,COLLEGE_TEACHER
male,ST,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,General,OA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,SCHOOL_TEACHER
female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,OTHERS
male,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
male,ST,NO,ONE,SEBA,AHSEC,ENGLISH,0,0,BUSINESS,OTHERS
female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
female,General,WA,TWO,SEBA,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
female,SC,WA,THREE,CBSE,CBSE,ENGLISH,1,1,BANK_OFFICIAL,OTHERS
male,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,General,OA,TWO,SEBA,AHSEC,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,1,1,SCHOOL_TEACHER,OTHERS
